"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1789274627245744277","Sun May 12 05:43:41 +0000 2024","8","@rahmaut @ashifriady Mw bilang GUoblOg ntar g terima udh di jelasin juga masi di bilang bea cukai","1789531876136529991","","rahmaut","in","Indonesia","0","0","0","https://x.com/SungJinwo06/status/1789531876136529991","1715728396876222464","SungJinwo06"
"1789207753644532057","Sat May 11 09:24:58 +0000 2024","7","@_riverheaven Bea Cukai kumpulan maling harusnya diganti jadi Berak cukimai","1789225175785021894","","_riverheaven","in","","0","0","0","https://x.com/PribadiBales/status/1789225175785021894","1576248663609069568","PribadiBales"
"1789276240647729278","Sat May 11 16:22:43 +0000 2024","14","@PartaiSocmed @ClarissaIcha Terlalu banyak rakyat yang riding the wave sentimen terhadap Bea Cukai padahal Negara ini bisa membangun infrastruktur yang baik karena PAJAK. Karena kalau mengandalkan SDM rakyatnya masih mayoritas bodoh jadi gak bisa diandalkan kecuali PAJAK.","1789330304177778995","","PartaiSocmed","in","Jakarta Capital Region","0","0","1","https://x.com/ananza1810/status/1789330304177778995","302514513","ananza1810"
"1789494837974016443","Sun May 12 03:16:31 +0000 2024","0","Bea Cukai membantah telah memungut bea masuk 30% dari importasi peti jenazah yang ramai di media sosial. https://t.co/0IuBqH7ECv","1789494837974016443","","","in","Jakarta, Indonesia","0","2","1","https://x.com/detikfinance/status/1789494837974016443","135795460","detikfinance"
"1789473065270915485","Sun May 12 01:57:45 +0000 2024","8","@detikcom Bea Cukai itu tukang memalak yang diatur oleh Undang Undang","1789475016155001227","","detikcom","in","69 • We/Us • Everywhere","0","2","0","https://x.com/BanggMi/status/1789475016155001227","1245684564","BanggMi"
"1789459254723973277","Sun May 12 02:13:37 +0000 2024","2","@prastow @ClarissaIcha Cuma bermodal Kata Teman akhirnya orang bea cukai kena caci maki dan bully.. Bisa sih ini dipidanakan.","1789479011711963437","","prastow","in","Indonesia","0","0","0","https://x.com/smuorl/status/1789479011711963437","4346662513","smuorl"
"1789300915356471776","Sun May 12 05:38:13 +0000 2024","4","@convomfs Ya Aurora takut kena pajak bea cukai mau masuk sini nder","1789530501117780013","","convomfs","in","","0","0","0","https://x.com/RakaiXavier/status/1789530501117780013","1759154135319072768","RakaiXavier"
"1789104089458208825","Sat May 11 10:26:56 +0000 2024","18","@ClarissaIcha Wkwkwk tukang fitnah padahal biaya pengurusan jenazah yg bukan dari bea cukai. Pantesan timnas kalah mulu netizen sdm rendahnya suka fitnah rasis bully orang. Karma is real wkwkwk","1789240768806449254","","ClarissaIcha","in","","0","0","0","https://x.com/agraushupol/status/1789240768806449254","1757725471008276480","agraushupol"
"1789475897948647499","Sun May 12 02:01:15 +0000 2024","0","Bea Cukai viral lagi! Usai kasus alat bantu belajar buat SLB dan mainan untuk direview kali ini pihak Bea Cukai kembali menuai keluhan netizen melalui akun X curhat ayah temannya yang meninggal di Penang harus bayar Bea Cukai 30% dari harga peti jenazah. https://t.co/hzENT9bwN1","1789475897948647499","","","in","California","0","0","0","https://x.com/FrankyTts/status/1789475897948647499","106247388","FrankyTts"
"1789215733412692200","Sat May 11 13:07:06 +0000 2024","10","@prastow tolong buat mbak @ClarissaIcha jangan hit and run ya sudah ada penjelasan pihak beacukai n pak pras. monggo klarifikasi / tunjukan bukti valid kalau emang benar peti itu dikenakan bea. mungkin klarifikasi pihak becuk ini dibaca sedikit orang tapi twettmu disebarkan banyak orang","1789281078173409403","","prastow","in","","0","1","1","https://x.com/Mediocre404/status/1789281078173409403","1595993398283948033","Mediocre404"
"1789276240647729278","Sat May 11 16:52:32 +0000 2024","8","@PartaiSocmed @ClarissaIcha sudah umum para pemungut duit memgatasnamakan bea cukai.. padahal bukan. banyak pemeasan memanfaatkan nama bea cukai padahal perusahaan jasa yg nilep duit nya.","1789337808878096424","","PartaiSocmed","in","Soekarno Hatta","0","1","0","https://x.com/dian_anhar/status/1789337808878096424","110921241","dian_anhar"
"1789274627245744277","Sun May 12 01:20:05 +0000 2024","25","@rahmaut @afifahafra79 Bea kali maksudnya. Bukan cukai.","1789465536700785036","","rahmaut","in","","1","1","1","https://x.com/whydryn/status/1789465536700785036","20570590","whydryn"
"1789483374157148659","Sun May 12 05:08:09 +0000 2024","7","@BoyzAnfield @PetaniPete @prastow @pramayudhaamdan Ya kalo bukan petugas bea cukai bukan ranahnya pak @prastow utk jelasin lah bea cukai itu cuma satu dari ratusan layanan di bandara mana tau lah bapaknya ybs pake layanan yg mana bapaknya bukan pejabat bandara","1789522934400483360","","BoyzAnfield","in","","0","2","0","https://x.com/tokpodeia/status/1789522934400483360","1330148988507525124","tokpodeia"
"1789104089458208825","Sat May 11 10:15:47 +0000 2024","2","@beautiaf @ClarissaIcha peti jenazah pasti bebas pajak bea masuk dsb kak.. kalo ada tagihan pasti utk handling dll.. ini sendernya langsung sebut tagihan bea cukai padahal belum pasti.. ini yg bahaya","1789237963349725253","","beautiaf","in","","0","0","0","https://x.com/ryuuuuu12823344/status/1789237963349725253","1535893510267994112","ryuuuuu12823344"
"1789459254723973277","Sun May 12 02:19:44 +0000 2024","3","@prastow @ClarissaIcha @ClarissaIcha ayo clear kan tuduhan anda jika benar pak prastowo saya yakin akan follow up ke bea cukai jika anda salah dan hanya sebar hoax segera lah minta maaf","1789480547095650419","","prastow","in","","0","0","0","https://x.com/gedepangrango94/status/1789480547095650419","1397584414029189125","gedepangrango94"
